professor	ritmo	comment
Expert 1	Não	Ela antecipa o movimento da perna que pisa atrás, consequentemente perde o tempo ao pisar na frente e sai do ritmo. E deve olhar menos para o chão.
Expert 1	Sim	A aluna não está transferindo o peso corretamenta na perna que pisa a frente, isso ocasiona a perda do ritmo.
Expert 1	Não	Algumas vezes ela demora ao executar o passo no ritmo, talvez se ela desse um passo menor ajudaria a acompanhar o tempo da música.
Expert 1	Não	Ela começou no ritmo, mas se atrapalhou algumas vezes e demorou pra conseguir voltar a executar o passo junto com a música.
Expert 1	Não	Falta agilidade na transferência de peso e isso deve refletir na soltura dos quadris. Ela pode melhorar a tensão das mãos também.
Expert 1	Não	Falta agilidade no peso e fluência(parar gera mais tensão nos movimentos). Necessita melhor a postura, deixando o peito mais aberto e ombros para trás.
Expert 1	Sim	Nesse vídeo ela ficou durante mais tempo no ritmo da música, mas precisa refinar o passo, pois ela só está encostando a ponta dos pés no chão. Em certos momentos ela acelerou e saiu do ritmo.
Expert 1	Não	Ela está um pouco acelerada e continua pisando somente na ponta dos pés.
Expert 1	Não	Falta ela se soltar mais e sentir a música.  Ela está tensa ao executar os movimentos e sem postura. O forró exije uma "xinga" e um "arrastar" de pés.
Expert 1	Não	Ele tem dificuldade em juntar os pés no centro e está realizando o passo de forma mais lenta.
Expert 1	Não	O aluno pode diminuir o tamanho do passo para conseguir mais agilidade.
Expert 1	Não	Precisa melhorar a postura e ainda falta agilidade na transferência de peso.
Expert 1	Não	Conseguiu entrar no ritmo por pouco tempo e está mais solto. No entanto, ainda está mais atrasado em relação a música.
Expert 1	Sim	Nesse vídeo ele permanece durante mais tempo no ritmo e está mais solto. Mas precisa melhorar a agilidade na transferencia de peso, principalmente, no eixo.
Expert 1	Não	Cuidar para não pular, desse modo ele altera sua altura. o movimento deve ser mais agil e arrastado.
Expert 1	Sim	Falta postura, parar de olhar para baixo e mais desenvoltura.
Expert 1	Sim	Ele demorou para entrar no ritmo. ainda precisa se soltar mais, melhorar a postura e diminuir o tamanho do passo.
Expert 1	Sim	Necessita melhorar o gingado e a postura. O ritmo está correto.
Expert 1	Não	Ele se perdeu durante a música, ficando menos tempo no ritmo certo. ele está muito tenso na execução do movimento.
Expert 1	Sim	Ele está no ritmo, mas o passo deve ter total transferência de peso nos pés. O aluno está usando somente a ponta dos pés.
Expert 1	Sim	O aluno se atrapalhou algumas vezes, mas teve bons períodos no ritmo. Ainda continua com dificuldade em acertar o passo e transferir o peso.
Expert 1	Sim	Ele está no ritmo, mas o passo deve ser mais arrastado e menos pulado.
Expert 1	Sim	Precisa melhorar a postura, relaxar os braços. O passo ainda está muito pulado.
Expert 1	Sim	Olhar menos para o chão, soltar os braços e realizar o passo mais arrastado, deslizando pelo chão. O movimento continua muito aério, pulado.
Expert 1	Sim	Se perdeu em alguns momentos, mas acertou o ritmo. O passo precisa melhorar bastante, nesse vídeo ele faz uma torção de quadril junto ao passo básico.
Expert 1	Sim	A torção no quadril continua, deve melhor nesse aspecto.
Expert 1	Sim	Cuidar torção de quadril, joelho e apoito interno dos pés.
Expert 1	Sim	Precisar melhor a postura.
Expert 1	Sim	Melhorar os braços
Expert 1	Sim	Ela está mais travado na música acelerada.
Expert 1	Sim	Column1
Expert 1	Sim	Precisa aperfiçoar a direção do olhar. olhar para o horizonte e não para o chão.
Expert 1	Sim	
Expert 1	Não	A aluna está realizando o passo em média de 4 em 4 tempos, o dobro de tempo pra esse ritmo binário.
Expert 1	Sim	Precisa aprimorar a postura e olhar.
Expert 1	Sim	
Expert 1	Sim	Precisa desenvolver o gingado dentro do passo.
Expert 1	Sim	Soltar os braços para estar mais a vontade.
Expert 1	Sim	Deve refinar a percepção corporal, postura ereta e braços.
Expert 1	Sim	
Expert 1	Sim	Teve mais dficuldade em executar o passo.
Expert 1	Sim	Cuidar a transferência nos pés de apoio, cuidar meia ponta.
Expert 1	Sim	O passo deve ser mais arrastado, sem ponta de pés.
Expert 1	Sim	Pode deixar o quadril mais solto.
Expert 1	Sim	
Expert 1	Sim	
Expert 1	Sim	Cuidar transferência de peso. Transfira todo o peso para frente e para trás, sem ter que travar o movimento.
Expert 1	Não	Se atrapalhou algumas vezes, ficando mais acelerado. Precisa definir melhor seu eixoe essa distância relacionado aos passo..
Expert 2	Não	Movimento demasiado dos braços. Acelerando no ritmo. Pouco uso das articulações.
Expert 2	Não	Atrasos na marcação. Variações no ritmo. Começa mais lento, acerto um pouco e perde acelerando?
Expert 2	Não	Dificuldades na transferencia de peso. Atrasos no ritmo. Pisando o calcanhar bem forte atrás
Expert 2	Não	Atraso ainda maior nas marcações atrás. Marcação a frente a perna vai a frente mas o corpo fica.
Expert 2	Não	Pisa fundo...mais forte a frente e atrás. Isso faz com que o atrase o ritmo. Pouca mobilidade na cintura. 
Expert 2	Não	Começa a pisar menos o calcanhar no chão criando o efeito mola. Parece começar mais lenta mas deps atropela o ritmo indo mais rápida. Pou ca mobilidade na cintura
Expert 2	Não	Pouquíssima transferência de peso. 
Expert 2	Não	Atropela o ritmo, com pouquíssima transferência de peso, e sem pausa de tempo no "3"
Expert 2	Não	Dificuldade na transfêrencia de peso
Expert 2	Não	Começou com a marcação do passo básico errada, atrapalhada e depois concertou. 
Expert 2	Não	Passos largos com atrasos de transferência de peso. Articlações tavadas.
Expert 2	Sim	Primeiro video que se observa a pessoa mais no ritmo da musica. Logo erra perde o tempo vai mais lenta. Sim, por que em parte ela está no ritmo.
Expert 2	Não	Ele parece começar a entrar no ritmo de vez em quando.
Expert 2	Não	Movimento desnecessário dos braços
Expert 2	Não	Erro inicial na marcação
Expert 2	Não	Começa a musica na marcação errada.
Expert 2	Sim	Atroplela levemente a marcação.
Expert 2	Sim	Parece no ritmo porém na batida errada da músia.
Expert 2	Sim	Já evita pisar o calcanhar quando pisa direitra atrás e esquerda a frente. Ajuda a manter o ritmo.
Expert 2	Não	Pisa esquerda a frente curto e direita atrás maior. Atropela um pouco o ritmo na transfêrencia de perna.
Expert 2	Não	Acelera levemente saindo do ritmo. Uso lateral demasiado da cintura
Expert 2	Sim	Parece que ainda acelera um pouco.  Uso lateral da cintura desnecessário.
Expert 2	Não	Levemente mais  rápido. Pisa esquerda mais rápida na frente atropelando o ritmo.
Expert 2	Não	Leva além da cintura o corpo todo lateralmente ao pisa esquerda a frente e direita atás causando perde e atraso no ritmo. 
Expert 2	Não	Leva o corpo lateralmente quando pisa esquerda a frente porém já não leva quano pisa direita atrás.
Expert 2	Não	Braços soltos, movimento lateral das cintura e corpo quando marca.
Expert 2	Sim	Marcação com moviemento lateral da cintura. Acredito ser desnecessário.
Expert 2	Sim	Uso desnecessário dos braços.
Expert 2	Não	Uso desnecessário dos braços. Acelera muito a marcação
Expert 2	Não	Perto do ritmo porém levemente mais rápida. Aplica uns chutinhos na marcação esquerda a frente.
Expert 2	Sim	Braço esquerda move mais que o braço direito. Movimentos desnecessário podem atrapalhar a dança e o rtimo.
Expert 2	Sim	Dúvidas em relação música. Marcação poderia ser de rastapé. Uso desnecessário do braço esquerdo.
Expert 2	Não	Marcação errada do passo básico. Fora da marcação
Expert 2	Sim	As vezes atrasa marcação e olha pra baixo enquanto dança. 
Expert 2	Não	Começa no tempo errado da música. Atrasa no começo e parece acertar o ritmo no final.
Expert 2	Sim	Parece estar no ritmo mas fora do tempo da batida da música. Mão no queixo na hora de dançar.
Expert 2	Sim	Braços poderiam estar melhor posição.
Expert 2	Não	Braços em boa posição. Começa mais rápida que a música e entra no rimto mais para o final.
Expert 2	Não	Atropela a música constantemente
Expert 2	Não	Pouca transfêrencia de peso. Atropela a músca não parando no intervalo entre os tempos 123..123..
Expert 2	Não	Pouca transfêrencia de peso. Atropela a músca não parando no intervalo entre os tempos 123..123..
Expert 2	Sim	Bem perto do rtimo. As vezes parece que está no ritmo outras um pouco mais lenta ou mais rápida. Mas mais para o ritmo certo.
Expert 2	Não	Postura, desenvoltura boa, braço equerdo mexe um levemente mais que direito. Poderia para um pouco mais entre as marcaçãoes de 123, 123...
Expert 2	Não	Acelara muito entre as marações.
Expert 2	Não	Acelera entre  as marcações. Atropela
Expert 2	Não	Sem pausa no centro entre as marcações
Expert 2	Não	Seria mais fácil dançar está música como rastapé. 
Expert 2	Não	Dificil ver a parada entre as marcações.
Expert 3	Não	O movimento não tem qualidade, é um movimento mecânico onde a P1 só se preocupa em colocar as pernas para frente e para trás, sem a transferência completa do peso e ignorando a música.
Expert 3	Não	O movimento não tem qualidade, é um movimento mecânico onde a P1 só se preocupa em colocar as pernas para frente e para trás, sem a transferência completa do peso e ignorando a música.
Expert 3	Não	O movimento não tem qualidade, é um movimento mecânico onde a P1 só se preocupa em colocar as pernas para frente e para trás, sem a transferência completa do peso e ignorando a música.
Expert 3	Não	O movimento não tem qualidade, é um movimento mecânico onde a P1 só se preocupa em colocar as pernas para frente e para trás, sem a transferência completa do peso e ignorando a música.
Expert 3	Não	O movimento não tem qualidade, é um movimento mecânico onde a P1 só se preocupa em colocar as pernas para frente e para trás, sem a transferência completa do peso e ignorando a música.
Expert 3	Não	O movimento não tem qualidade, é um movimento mecânico onde a P1 só se preocupa em colocar as pernas para frente e para trás, sem a transferência completa do peso e ignorando a música.
Expert 3	Não	O movimento não tem qualidade, é um movimento mecânico onde a P1 só se preocupa em colocar as pernas para frente e para trás, sem a transferência completa do peso e ignorando a música. Além de não tranferir o peso completamente, pisa com a ponta do pé.
Expert 3	Não	O movimento não tem qualidade, é um movimento mecânico onde a P1 só se preocupa em colocar as pernas para frente e para trás, sem a transferência completa do peso e ignorando a música. Além de não tranferir o peso completamente, pisa com a ponta do pé.
Expert 3	Não	O movimento não tem qualidade, é um movimento mecânico onde a P1 só se preocupa em colocar as pernas para frente e para trás, sem a transferência completa do peso e ignorando a música. Além de não tranferir o peso completamente, pisa com a ponta do pé.
Expert 3	Não	O P2 está transferindo bem o peso, mas o movimento é muito mecânico, precisa da soltura e relaxamento das articulações, principalmente do quadril.
Expert 3	Não	O P2 está transferindo bem o peso, mas o movimento é muito mecânico, precisa da soltura e relaxamento das articulações, principalmente do quadril.
Expert 3	Não	O P2 está transferindo bem o peso, mas o movimento é muito mecânico, precisa da soltura e relaxamento das articulações, principalmente do quadril.
Expert 3	Não	O P2 está transferindo bem o peso, mas o movimento é muito mecânico, precisa da soltura e relaxamento das articulações, principalmente do quadril. Está dando "pulinhos" como se estivesse correndo.
Expert 3	Não	O participante ouve a música e consegue identificar o compasso. Apesar disso, os movimentos são mecânicos.
Expert 3	Não	O participante ouve a música e consegue identificar o compasso. Apesar disso, os movimentos são mecânicos.
Expert 3	Não	O participante ouve a música e consegue identificar o compasso. Apesar disso, os movimentos são mecânicos.
Expert 3	Não	O participante ouve a música e consegue identificar o compasso. Apesar disso, os movimentos são mecânicos.
Expert 3		Não consigo avaliar o passo básico do xote com uma música de baião
Expert 3	Não	O participante ouve a música e consegue identificar o compasso. Apesar disso, os movimentos são mecânicos.
Expert 3	Não	Apesar de parecer que o participante não está prestando atenção na música, coincidentemente, ele está no compasso. Movimento homolateral.
Expert 3	Não	O participante está quase no ritmo da música mesmo fazendo movimento homolateral. 
Expert 3	Não	O participante está quase no ritmo da música mesmo fazendo movimento homolateral.
Expert 3	Não	Movimento homolateral independente da música.
Expert 3	Não	Movimento homolateral com uma pequena torção de quadril na pisada da frente que pode ser prejudicial a longo prazo.
Expert 3		Não consigo avaliar o passo básico do xote com uma música de baião
Expert 3	Não	O participante está quase no ritmo da música mesmo fazendo movimento homolateral.
Expert 3	Não	O participante está quase no ritmo da música mesmo fazendo movimento homolateral.
